|Sears Pointless|,,,,,,,,,,
|3|,|26|,|2011|,,,,,,,,
|Pos|,|No|,|Name|,|Class|,|VicYear|,|VicMake|,|VicModel|,|Laps|,|BestTime|,|LapsBS|,|LapsFlag|
80,242,|Faulknor Auto Racing Team|,|B|,,,,237,02:18.260,,
81,181,|Maximum Overdrive Racing|,|B|,,,,237,02:33.968,,
82,431,|Faster Farms V- Chicken: Impoxible|,|A|,,,,237,02:25.351,,
83,108,|Nerd Herd|,|B|,,,,234,02:21.942,,
84,404,|Bassackward Racing|,|B|,,,,233,02:34.613,,
85,119,|ZZ Uber Das Driver|,|B|,,,,233,02:26.900,,
86,52,|How I learned to stop worrying and drive the Lemon|,|A|,,,,232,02:18.730,,
87,57,|The Hot Dogs|,|A|,,,,232,02:15.057,,
88,31,|Flash Racing Inc. Memorial Team|,|B|,,,,231,02:19.092,,
89,153,|Angry Birds|,|B|,,,,229,02:22.873,,
90,300,|Snowspeeder Pilots Association|,|B|,,,,228,02:30.740,1,
91,820,|Audi Style Racing|,|B|,,,,227,02:28.404,,
92,182,|The Black Flags|,|B|,,,,227,02:20.402,,
93,170,|Team Fugawi|,|A|,,,,226,02:22.115,,
94,24,|Pit Crew Revenge|,|B|,,,,226,02:21.338,,
95,510,|TEAM 510|,|A|,,,,225,02:15.046,,
96,33,|Fraidy Cat Racing|,|B|,,,,224,02:22.700,,
97,78,|Ultimate Ratio|,|A|,,,,223,02:26.664,10,
98,185,|Pendejo Engineering|,|B|,,,,222,02:30.815,,
99,106,|Late for Tea|,|A|,,,,222,02:23.476,15,
100,289,|Tired Iron Racing|,|A|,,,,218,02:24.927,1,
101,29,|Psychotic Samurai|,|B|,,,,217,02:25.953,,
102,64,|Speed Dial|,|A|,,,,216,02:22.796,,
103,220,|Team My-Doll|,|B|,,,,216,02:45.835,,
104,908,|Easy 908/14|,|B|,,,,216,02:29.702,,
105,808,|Licensed to Ill|,|B|,,,,213,02:27.671,,
106,193,|Birdbrain Racing|,|B|,,,,211,02:19.863,,
107,126,|Kicking Ass|,|B|,,,,211,02:20.532,,
108,74,|Left Over Parts|,|A|,,,,206,02:25.371,,
109,13,|SAABrero Verde|,|A|,,,,205,02:21.016,,
110,4,|Auto Lemon Union|,|B|,,,,204,02:33.468,,
111,27,|Beevil Mnievel and the Daredevil Stuperstars|,|C|,,,,204,02:28.414,,
112,91,|Pit Crew Revenge 2|,|A|,,,,203,02:23.330,,
113,212,|The Sheen Machine|,|B|,,,,201,02:19.284,,
114,430,|Petty Cash Racing|,|B|,,,,198,02:23.093,,
115,666,|IWannaRoc|,|B|,,,,195,02:32.036,,
116,245,|Bernal Dads Racing|,|C|,,,,193,02:25.967,,
117,87,|BROverload Racing|,|B|,,,,193,02:26.835,,
118,69,|Crazy Taxi|,|B|,,,,192,02:21.218,,
119,81,|Honda F1 Reunion|,|A|,,,,192,02:13.115,41,
120,959,|Sin City LeMons|,|B|,,,,189,02:25.383,,
121,107,|Team Magic|,|C|,,,,188,02:35.470,,
122,177,|Rascally Rabbit Racing|,|C|,,,,186,02:22.974,,
123,38,|WORKS Mitsubeastie|,|B|,,,,185,02:33.659,,
124,61,|BBQ Rubber Chicken Picatta|,|B|,,,,182,02:22.703,,
125,50,|Will Work 2 Race|,|B|,,,,180,02:28.099,,
126,67,|JGR II|,|B|,,,,173,02:32.093,,
127,77,|Slot Car Racing|,|A|,,,,168,02:31.431,1,
128,139,|BMW bandits|,|C|,,,,168,02:27.495,10,
129,777,|Pigs Can Fly Aviation|,|A|,,,,168,02:43.942,,
130,555,|Judge Busters|,|A|,,,,167,02:25.724,,
131,86,|Los Seis Amigos!!!|,|A|,,,,164,02:18.516,,
132,21,|OLD Fast Auto Race Team & Sons|,|B|,,,,161,02:17.693,,
133,60,|Directionally Challenged Racing|,|B|,,,,161,02:22.408,,
134,7,|Casino Racing|,|A|,,,,158,02:18.783,46,
135,222,|Kia Pet Racing|,|B|,,,,152,02:33.234,,
136,12,|Wanna-be Sponsors|,|C|,,,,146,02:22.093,,
137,3,|Team N8|,|A|,,,,143,02:24.954,20,
138,26,|KGB Racing|,|B|,,,,139,02:22.326,,
139,28,|White Trash Ken Racing|,|A|,,,,136,02:24.540,,
140,59,|Flying Scotsmen|,|A|,,,,132,02:26.584,,
141,200,|The Homey Depot|,|B|,,,,130,02:33.517,,
142,18,|All Day and All Night!|,|A|,,,,130,02:25.843,,
143,900,|Team BIL|,|A|,,,,127,02:21.810,,
144,70,|Jaywatch|,|A|,,,,126,02:24.298,,
145,39,|Team Cant Am|,|A|,,,,125,02:15.628,,
146,160,|Carpet Pissers|,|C|,,,,122,02:27.971,,
147,911,|Don't Ask Don't Tell|,|A|,,,,119,02:27.140,,
148,301,|Can't Beat 'Em|,|C|,,,,116,02:30.954,,
149,337,|B League Film Society - Miami Nice|,|A|,,,,115,02:21.599,,
150,224,|Ben's Stag Party: Car of Ill Repute|,|C|,,,,110,02:33.780,,
151,325,|ThunderCock Racing Team #2|,|A|,,,,97,02:31.435,,
152,314,|Sumbitch Racing|,|B|,,,,96,02:25.640,,
153,36,|Killer ZomBees|,|C|,,,,92,02:39.843,,
154,501,|Hack Racing|,|B|,,,,88,02:24.379,,
155,502,|The Hasselhoffs|,|B|,,,,87,02:22.518,,
156,54,|-ing with Bad Ideas|,|B|,,,,83,02:35.012,,
157,221,|4R's Racing|,|B|,,,,83,02:31.117,2,
158,41,|R.A.T.S. Racing|,|A|,,,,80,02:27.666,,
159,330,|Dust n Debris|,|B|,,,,69,02:33.792,,
160,168,|Green Hornet|,|A|,,,,66,02:25.267,125,
161,37,|Caffeine Unlimited|,|A|,,,,62,02:24.197,,
162,73,|Trash Gordon Racing.|,|B|,,,,60,02:31.601,4,
163,333,|Car Error Panamericana|,|B|,,,,53,02:33.808,,
164,22,|OLD Fast Auto Race Team & Sons|,|C|,,,,48,02:38.377,,
165,191,|A Lemon Entry|,|C|,,,,47,02:32.887,,
166,71,|Almost Bullitts|,|B|,,,,7,02:54.932,8,
167,19,|AlienMagoos|,|B|,,,,5,03:28.248,,
168,157,|John Galt Racing|,|C|,,,,4,03:52.950,,
169,240,|Import Alloy Racing|,|B|,,,,,,,
170,998,|Motherlode 400|,,,,,,,,
171,724,|No eXcuses|,|A|,,,,-3,,3,
172,48,|BLowe's Racing|,|A|,,,,225,,225,
173,62,|tech2motorsports|,|A|,,,,-736,02:18.861,1000,
