|Lemons Arse-Freeze-Apolooza|,,,,,,,,,,
|12|,|4|,|2010|,,,,,,,,
|Pos|,|No|,|Name|,|Class|,|VicYear|,|VicMake|,|VicModel|,|Laps|,|BestTime|,|LapsBS|,|LapsFlag|
62,193,|Banna Hamock Death Squad Racing|,|B|,|1977|,|Nissan Datsun|,|280Z|,224,02:22.516,,
63,555,|VRDubs|,|A|,|1986|,|Volkswagen|,|GTI|,222,02:20.125,5,
64,87,|BROverload Racing|,|A|,|1985|,|VW|,|Jetta|,222,02:25.420,,
65,44,|Stick Figure Racing|,|B|,|1987|,|Toyota|,|MR2|,222,02:31.920,,
66,502,|The Hasselhoffs|,|B|,|1992|,|Toyota|,|Paseo|,219,02:25.529,,
67,59,|Dai Hard with a Venegeance|,|B|,|1989|,|Daihatsu|,|Charade CS-L|,219,02:22.747,,
68,70,|Jaywatch|,|A|,|1986|,|BMW|,|325es|,218,02:19.643,,
69,34,|Team California Mille|,|A|,|1979|,|Alfa Romeo|,|Sprint Veloce|,216,02:21.495,,
70,273,|Sheep Shaggers|,|A|,|1983|,|Chevrolet|,|Camaro|,216,02:17.879,,
71,97,|BuzZ Kill Racing|,|B|,|1987|,|Nissan|,|300zx|,215,02:25.233,,
72,46,|Rice Rocket Racing|,|B|,|1973|,|Datsun|,|240Z|,212,02:16.459,,
73,11,|Cajun Coonasses dba Spinal Crap|,|A|,|1993|,|Nissan|,|Sentra|,212,02:21.500,,
74,202,|Bassackward Racing 1|,|B|,|1973|,|BMW|,|2002|,210,02:34.692,,
75,35,|Team California Mille #2|,|B|,|1976|,|Alfa Romeo|,|Alfetta GT|,210,02:22.403,,
76,90,|My Car is More Famous Than Your Car|,|C|,|1993|,|Ford|,|Escort|,210,02:32.996,,
77,959,|Sin City LeMons|,|A|,|1985|,|VW|,|GTI|,208,02:28.559,,
78,153,|The Floating Dutchmen|,|A|,|1989|,|Mercedes|,|300CE|,204,02:19.735,9,
79,182,|The Black Flags|,|B|,|1983|,|Toyota|,|Celica Supra|,204,02:19.137,,
80,222,|Who does #2 work for? or Rv there yet car club?|,|C|,|1985|,|toyota|,|turcel|,203,02:40.640,,
81,461,|BRO Racing|,|B|,|1978|,|Datsun|,|280-Z former Mr. Hankey car|,198,02:18.309,,
82,53,|Deepest Valley Racing|,|B|,|1975|,|Jaguar|,|XKE|,197,02:31.261,,
83,67,|JGR II|,|B|,|1975|,|BMW|,|2002|,195,02:36.017,,
84,404,|Bassackward Racing 2|,|A|,|1973|,|BMW|,|2002|,193,02:23.931,50,
85,993,|LEMONS DODOLITION|,|B|,|1990|,|Honda|,|CRX|,193,02:29.785,,
86,14,|Angel Lady Antebellum|,|A|,|1997|,|Nissan|,|Maxima|,193,02:18.807,4,
87,98,|Not that Scott Pruitt|,|B|,|1996|,|Eagle|,|Talon|,185,02:23.180,,
88,248,|Brown Pelican Racing|,|A|,|1986|,|BMW|,|E30|,184,02:14.628,,
89,179,|Team Jail Bait|,|A|,|1991|,|Mazda|,|Miata|,184,02:20.812,,
90,94,|Communists R Us|,|A|,|1982|,|BMW|,|E21 320i|,179,02:27.842,,
91,17,|saabsgonewild|,|B|,|1987|,|SAAB|,|c900|,179,02:27.285,,
92,24,|HUMMERHONDA pit crew revenge|,|A|,|1995|,|honda|,|hummer civic|,178,02:19.965,,
93,745,|The Color of Money|,|A|,|1990|,|Volvo|,|745|,178,02:21.225,2,
94,36,|Killer Zombies|,|C|,|1977|,|MG|,|BZ (ZomBee Edition)|,177,02:41.458,,
95,168,|TEAM EGGPLANT|,|B|,|1992|,|Eagle|,|Talon|,176,02:22.725,,
96,405,|THE CREAMY DELIGHTS|,|A|,|1981|,|BMW|,|528I|,176,02:36.242,,
97,57,|The Hot Dogs|,|A|,|1987|,|Chrysler|,|Conquest|,175,02:22.935,,
98,525,|If It's Not Punk It's Junk GP|,|A|,|1992|,|BMW|,|525i|,174,02:13.804,,
99,50,|5.sl0w Racing|,|A|,|1993|,|Ford|,|Musturd|,170,02:20.558,,
100,156,|Godzilla Loves Bacon|,|A|,|1986|,|BMW|,|E30|,170,02:31.947,,
101,12,|Charity Case II|,|C|,|1994|,|Kia|,|Sephia|,169,02:50.389,,
102,820,|Audi Style Racing|,|B|,|1982|,|Audi|,|Coupe|,167,02:33.104,,
103,63,|Not Ready for LeMons Time Killer Bees|,|B|,|1981|,|Toyota|,|Cressida|,166,02:34.533,,
104,195,|Spirit of Joe|,|B|,|1995|,|Volkswagen|,|Golf|,166,02:19.512,,100
105,64,|Italian Stallions - The Blue Meanie|,|C|,|1964|,|Fiat|,|600D|,164,03:35.239,,
106,500,|Middle of the Road Racing (MOTRR)|,|A|,|1983|,|Mazda|,|RX7|,162,02:22.128,14,
107,41,|Team Stupor Heroes!|,|B|,|1981|,|Datsun|,|280zx|,161,02:27.053,,
108,321,|Fugitive Racing|,|A|,|1987|,|BMW|,|325E|,159,02:20.846,7,
109,10,|ROLLING CHICANE LIMO SERVICE|,|C|,|1996|,|Lincoln|,|limo town car|,158,02:56.731,,
110,81,|Maximum Overdrive Racing|,|B|,|1972|,|Toyota|,|Truck|,157,02:33.325,,
111,213,|3rd World Racing|,|A|,|1988|,|Honda|,|CRX|,149,02:23.374,,
112,301,|Apollo 18|,|C|,|1968|,|Austin|,|Moke|,144,02:29.394,,
113,120,|Loko Iacocca Racing|,|C|,|1987|,|dodge|,|shadow|,143,02:40.996,,
114,101,|The Sharks|,|A|,|1983|,|BMW|,|528e|,142,02:20.209,1,
115,401,|Team Lightning McQueen|,|A|,|1985|,|Mazda|,|RX 7|,141,02:30.765,,
116,32,|Thunder Chicken Rides Again|,|B|,|1988|,|Ford|,|Thunderbird|,141,02:25.581,,
117,330,|Dust n Debris|,|B|,|1994|,|Dodge / BMW / Fiat|,|Shadow / E30|,141,02:28.046,,
118,60,|Directionally Challenged Racing|,|A|,|1985|,|Ford|,|Mustang|,140,02:20.632,3,
119,170,|Team Fugawi (thank you Mel Brooks)|,|A|,|1991|,|Toyota|,|1991 MR2|,139,02:23.806,,
120,771,|GimpPimp|,|B|,|1996|,|Cadillac|,|SLS|,137,02:19.598,,
121,71,|Air Prance Oui We Can-can|,|C|,|1971|,|Citroen|,|D-Special (ID19 / DS)|,137,02:50.834,,
