|The Skankaway Anti-Toe-Fugal 500|,,,,,,,,,,
|10|,|22|,|2011|,,,,,,,,
|Pos|,|No|,|Name|,|Class|,|VicYear|,|VicMake|,|VicModel|,|Laps|,|BestTime|,|LapsBS|,|LapsFlag|
56,73,|Polished Turd Racing|,|C|,|1986|,|Ford|,|Escort Wagon|,295,02:21.073,,
57,993,|Slotus Formula One|,|B|,|1988|,|Honda|,|CRX|,293,02:10.402,,
58,200,|The Homey Depot|,|B|,|1991|,|Nissan|,|240sx|,291,02:19.489,,
59,31,|Flash Racing|,|A|,|1985|,|Mazda|,|RX-7|,290,02:10.636,,
60,0,|Geo Player Special|,|A|,|1990|,|Geo|,|Metro|,289,02:01.024,3,
61,36,|Killer ZomBees|,|C|,|1977|,|MG|,|MGB|,289,02:25.352,,
62,114,|The team formerly known as "Hans Und Franz Racing"|,|A|,|1994|,|BMW|,|325i|,274,02:05.246,1,
63,55,|Battleship Red - United Sinking Ships Racing|,|A|,|1986|,|Nissan|,|300ZX|,273,02:02.753,,
64,808,|Licensed To ILL|,|B|,|1984|,|Chevy|,|S10|,272,02:18.738,,
65,774,|O'Darrell Racing|,|C|,|1978|,|Ford|,|Mustang II|,271,02:21.308,,
66,888,|Myopic Motorsports|,|B|,|1995|,|Ford|,|Thunderbird LX 3.8L|,270,02:25.622,,
67,242,|Faulknor Auto Racing Teameam|,|A|,|1985|,|BMW|,|535|,269,02:07.174,,
68,531,|Holy Grail Racing|,|A|,|1987|,|Porsche|,|944|,268,02:16.145,,
69,190,|Chim Chim Racing|,|B|,|1983|,|VW|,|Rabbit GTI|,267,02:05.605,,
70,96,|Clunker Refuge Racing|,|B|,|1986|,|Nissan|,|300ZR|,263,02:07.691,,
71,157,|John Galt Racing|,|B|,|1973|,|Porsche|,|914|,260,02:16.267,,
72,42,|Old and the Wreckless|,|B|,|1991|,|Ford|,|Mustang|,258,02:11.029,,
73,334,|Car Error Panamericana|,|B|,|2001|,|Saturn|,|SL2|,257,02:12.705,,
74,1,|LOL Racing|,|B|,|1984|,|Volvo|,|245|,256,02:19.474,,
75,34,|Team California Mille|,|A|,|1979|,|Alfa Romeo|,|Sprint Veloce|,254,02:13.151,,
76,222,|KIA Pet|,|C|,|2003|,|Kia|,|Rio|,253,02:13.486,,
77,196,|Clunker Refuge Racing II (Type D)|,|A|,|1992|,|Mazda|,|Type D Jag|,251,02:12.523,20,
78,243,|Bernal Dads Racing|,|B|,|1995|,|Volzda|,|Molvo|,250,02:11.117,,
79,79,|Crash Test Zombies|,|A|,|1984|,|Mazda|,|RX-7|,250,02:17.552,5,
80,3,|Oakland's Finest undercover|,|B|,|1987|,|Honda|,|CRX|,249,02:18.202,,
81,47,|B.R.E. Datsun|,|A|,|1997|,|Datusn|,|Maxima|,248,02:05.624,,
82,30,|ThunderCock Racing|,|B|,|1992|,|Mazda|,|Mx6|,243,02:17.237,,
83,24,|Good Luck Everybody Else Racing|,|A|,|1999|,|Subaru|,|Legacy|,243,02:12.002,1,
84,595,|Angry Hamster Racing|,|A|,|1971|,|Honda|,|Z600|,237,02:03.613,,
85,120,|Loko Iacocca Racing|,|B|,|1987|,|Dodge|,|Shadow Turbo!|,234,02:11.591,,
86,59,|Flying Scotsmen|,|A|,|1985|,|BMW|,|325e|,230,02:15.514,,
87,144,|Mutter Fokker Motorsports|,|A|,|1990|,|BMW|,|325|,230,02:08.742,,
88,70,|Rustang|,|B|,|1971|,|Mustang|,|Coupe|,230,02:19.565,10,
89,700,|Jaywatch|,|A|,|1986|,|BMW|,|325es|,228,02:08.663,,
90,16,|BBQ Rubber Chicken Picatta|,|B|,|1988|,|Volvrolet|,|740 / 940 / 350|,223,02:09.501,,
91,444,|Pit Crew Revenge|,|A|,|1995|,|Honda|,|Civic|,221,02:13.771,,
92,53,|-ing with Bad Ideas|,|C|,|1964|,|VW|,|Beetle|,221,02:17.366,,
93,820,|Audi Style Racing|,|B|,|1982|,|Audi|,|Coupe GT|,220,02:08.051,,
94,944,|Eco Challenged|,|A|,|1985|,|Porsche|,|944|,219,02:10.683,10,
95,12,|Fraidy Cat Racing|,|C|,|1994|,|Jaguar|,|XJ12|,215,02:12.309,,
96,60,|Cajun Coonasses dba Deaf Leppard|,|A|,|1992|,|Nissan|,|Sentra|,214,02:06.971,,
97,261,|Front Row Racing|,|A|,|1987|,|BMW|,|325is|,212,02:05.102,29,
98,33,|B210 racing|,|C|,|1977|,|Datsun|,|B210|,211,02:18.888,,
99,67,|JGR II|,|B|,|1973|,|BMW|,|2002|,210,02:20.086,10,
100,998,|Loose Nutz|,|A|,|1980|,|Mazda|,|RX7|,205,02:10.369,30,
101,41,|Hard-ease|,|A|,|1996|,|BMW|,|328i|,203,02:04.500,1,
102,84,|AngryBirds|,|C|,|1984|,|Mazda|,|GLC|,200,02:22.429,,
103,50,|The SuperGrovers|,|A|,|1992|,|Mazda|,|MX-3|,199,02:14.123,,
104,333,|Pit Crew Revenge 2|,|B|,|1990|,|Honda|,|Wagovan|,198,02:10.552,2,
105,746,|Filthy 935 DEVO|,|A|,|1999|,|Ford|,|Escort ZX2|,198,02:11.024,,
106,25,|Stick Figure racing|,|B|,|1961|,|Fiat|,|Multipla|,198,02:16.534,,
107,10,|10th scale racers|,|B|,|1986|,|Toyota|,|MR2|,196,02:12.123,,
108,399,|Raized Crazy Racing|,|A|,|1993|,|BMW|,|E-30|,196,02:10.664,,
109,19,|AlienMagoos|,|A|,|1978|,|Alfa Romeo|,|Alfetta|,194,02:19.988,,
110,928,|Dirt Poor-sche Racing|,|B|,|1982|,|Porsche|,|928|,188,02:15.341,,
111,800,|LadyBug Racing|,|A|,|1984|,|Porsche|,|944|,182,02:20.647,,
112,124,|LeMini Autosarcophagy|,|C|,|1962|,|Austin|,|Mini|,179,02:16.535,,
113,211,|Bavarian Brew Crew|,|B|,|1975|,|BMW|,|2002|,178,02:22.887,,
114,101,|White Trash Ken Racing|,|A|,|2001|,|Saturn|,|SC|,176,02:14.419,10,
115,301,|Dr. Spankenstein's Mokester|,|C|,|1968|,|Austin|,|Moke|,173,02:14.606,,
116,182,|The Black Flags|,|C|,|1983|,|Toyota|,|Celica Supra|,169,02:08.561,,
117,37,|Caffeine Unlimited|,|A|,|1987|,|BMW|,|325is|,168,02:14.933,,
118,419,|Dead-Head-Racing|,|A|,|1974|,|Alfa Romeo|,|Spider|,157,02:12.915,,
119,45,|E=MCHAMMERED|,|A|,|1987|,|BMW|,|E30|,153,02:07.442,,
120,386,|Code Runner|,|C|,|1989|,|Nissan|,|Sentra|,149,02:27.775,,
121,87,|NAFM Racing|,|C|,|1988|,|Pontiac|,|Fiero|,141,02:16.087,,
122,56,|Battleship Blue - Unsinkable Sh*tbox Alliance|,|A|,|1991|,|Nissan|,|300ZX|,139,02:12.101,25,
123,82,|Team Sad-turn|,|A|,|1993|,|Saturn|,|SC-2|,138,02:09.837,9,
124,76,|Team Bundy|,|B|,|1973|,|Plymouth|,|Duster|,129,02:09.853,,
125,180,|Powered By Tequila|,|A|,|1987|,|Porsche|,|944|,122,02:09.394,,
126,57,|The Hot Dogs|,|B|,|1987|,|Chrysler|,|Conquest|,122,02:10.857,,
127,91,|Fiero Libre|,|C|,|1987|,|Pontiac|,|Fiero|,117,02:30.755,,
128,14,|Bullitts again|,|B|,|1995|,|Ford|,|Mustang|,116,02:20.572,,
129,997,|Wilson Motorsports|,|B|,|1986|,|Honda|,|Civic|,115,02:16.466,,
130,189,|Tired Iron Racing|,|A|,|1991|,|Mazda|,|Miata|,108,02:15.042,,
131,117,|The Fat and the Furious|,|A|,|1990|,|Mazda|,|Miata|,100,02:13.325,,
132,43,|Fast Food Racing|,|A|,|1985|,|BMW|,|325E|,97,02:13.988,,
133,5,|Depends on Everything|,|A|,|1987|,|Porsche|,|944|,91,02:27.061,2,
134,35,|Team California Mille|,|A|,|1976|,|Alfa Romeo|,|Alfetta GT|,89,02:13.018,,
135,420,|Grapes of Wrath|,|B|,|1987|,|VW|,|Golf|,83,02:16.968,,
136,27,|Nocturnal Emissions Racing|,|B|,|1997|,|Subaru|,|Outback Sport|,83,02:21.202,,
137,902,|Rooster Juice Racing|,|A|,|1979|,|Porsche|,|924|,81,02:13.084,,
138,72,|B Team|,|A|,|1974|,|Lotus|,|Elite|,80,02:08.336,,
139,924,|OLD Fast Auto Race Team & Sons|,|A|,|1987|,|Porsche|,|924|,72,02:06.811,,
140,430,|Petty Cash Racing|,|B|,|1989|,|Jeep|,|Cherokee|,69,02:15.918,,
141,268,|Team Angry Red Bird|,|B|,|1986|,|Nissan|,|200sx|,61,02:18.585,,
142,64,|Auto Lemon Union|,|A|,|1986|,|BMW|,|528e|,61,02:11.570,,
143,311,|Turtle Racing|,|A|,|1984|,|BMW|,|533i(POS)|,56,02:12.242,,
144,78,|Trash Gordon Racing.|,|C|,|1981|,|Datsun|,|200sx|,51,02:24.463,,
145,65,|Unsafe At Any Speed|,|C|,|1965|,|Chevy|,|Corvair|,48,02:32.860,,
146,337,|B League Film Society - Miami Nice|,|B|,|1989|,|VW|,|Jettarosa|,46,02:18.571,,
147,32,|Speedycop & The Gang of Outlaws|,|A|,|1986|,|Volvo|,|240|,46,02:13.232,,
148,168,|Green Hornet|,|A|,|1989|,|Honda|,|SI|,40,02:12.602,4,
149,103,|!Three Amigos!|,,|1985|,|BMW|,|535i|,36,02:18.673,,
150,138,|Team Eradication|,|A|,|1987|,|Toyota|,|Supra|,25,02:17.690,10,
151,555,|Pit Crew Revenge 3|,|B|,|1987|,|Mazda Dualley v8|,|Redneck Repo Truck|,22,02:35.563,,
152,75,|Last Minute Men&Women|,|B|,|1982|,|Chevy|,|Camaro|,21,02:27.457,,
153,49,|4F-Racing|,|A|,|1979|,|Ford|,|Mustang|,20,02:23.231,,
154,240,|Import Alloy Racing|,|B|,|1990|,|Nissan|,|240sx|,17,02:18.969,,
155,411,|White Trash Barbie Racing|,|A|,|1999|,|Ford|,|Crown Vic|,16,02:26.373,,
156,159,|Tercelators Team America|,|A|,|1990|,|Chevy|,|Camaro|,13,02:20.114,,
157,92,|Road Warriors|,|B|,|1992|,|Pontiac|,|Firebird Trans Am|,10,02:34.829,,
158,89,|Edge Motorworks|,|A|,|1986|,|BMW|,|325e|,4,02:13.884,,
159,15,|Off-the-Scale|,|A|,|1985|,|Mazda|,|RX-7|,2,02:23.907,,
160,215,|Captain America|,|B|,|1976|,|BMW|,|2002|,2,02:41.592,,
161,23,|Austin's America|,,|1969|,|Austin|,|America|,2,03:35.152,,
162,81,|Team Sad-turn|,|A|,|1992|,|Saturn|,|SC-2|,-13,02:17.448,23,
163,71,|uxb|,|A|,|1994|,|BMW|,|325|,-999,02:06.336,4500,
164,999,|Team RafT:The Curse of the Black Hurl|,|A|,|1991|,|Honda|,|Civic|,-999,02:09.751,8447,
