|Campaign to Prevent Gingervitis|,,,,,,,,,,
|4|,|16|,|2011|,,,,,,,,
|Pos|,|No|,|Name|,|Class|,|VicYear|,|VicMake|,|VicModel|,|Laps|,|BestTime|,|LapsBS|,|LapsFlag|
1,85,|Dai Mondai II|,|A|,|1985|,|Toyota|,|MR2|,373,01:42.162,,1
2,56,|Skid Marks Racing|,|A|,|1995|,|Dodge|,|Neon|,367,01:43.984,1,
3,991,|Team Short Bus|,|A|,|1995|,|Volkswagen|,|Golf|,367,01:45.071,,
4,17,|Latch-Key Kids|,|A|,|1996|,|Plymouth|,|Neon|,361,01:45.428,,
5,11,|Team Reynolds Style|,|A|,|1995|,|Toyota|,|Celica ST|,354,01:46.278,,
6,871,|Chicken and Waffles|,|B|,|1987|,|Volkswagen|,|Quantum Syncro Wagon|,352,01:55.951,,
7,25,|Bucksnort Racing|,|A|,|1987|,|BMW|,|Crappy E30|,350,01:41.618,,
8,48,|Free Candy Racing|,|B|,|1989|,|Honda|,|Civic|,348,01:48.807,,
9,28,|Team Non Sequitur|,|A|,|1992|,|Acura|,|Integra|,338,01:46.260,1,
10,187,|THE Tools|,|B|,|1987|,|Merkur|,|XR4Ti|,333,01:46.568,,
11,27,|The Cheap Bastards|,|B|,|1995|,|Dodge|,|Neon|,333,01:53.383,,
12,411,|Pickup Trash|,|B|,|1986|,|Chevy|,|S10 Lumberhauler|,332,01:48.554,,
13,69,|Neon Light District|,|A|,|1996|,|Dodge|,|Neon|,331,01:49.581,5,
14,87,|Dai Mondai I|,|A|,|1987|,|Toyota|,|Corolla FX16|,328,01:51.412,,
15,33,|HardDriveRacing2|,|A|,|2005|,|Honda|,|Civic / Camaro|,327,01:53.825,,
16,117,|Merry Men|,|A|,|1969|,|Alfa Romeo|,|Berlina|,326,01:48.903,,
17,93,|Lucky Monkey Racing|,|A|,|1993|,|Acura|,|Integra|,322,01:46.016,,
18,718,|Le Shadow|,|C|,|1993|,|Dodge|,|Shadow|,320,01:50.052,,
19,350,|Ghetto Motorsports|,|B|,|1978|,|Chevy|,|Malibu|,318,01:47.693,,
20,99,|Team Jager Bombers|,|A|,|1989|,|Mazda|,|RX-7|,317,01:44.333,,
21,14,|Kamikaze Pilots of Fury|,|A|,|1989|,|Honda|,|Civic|,316,01:49.766,,
22,53,|LemonAid Racing|,|C|,|1996|,|Geo|,|Metro|,310,01:55.740,,
23,90,|Euro Trash|,|B|,|1990|,|VW|,|Jetta|,304,01:49.648,,
24,42,|C&H Racing|,|B|,|1985|,|Volvo|,|740|,304,01:54.498,,
25,52,|Hand Me Down Crap|,|A|,|1987|,|Toyota|,|Supra|,300,01:47.076,3,
26,13,|Hell Kitty Racing|,|A|,|1988|,|Honda|,|Prelude Si|,299,01:46.613,2,
27,24,|Track Pillagerz!|,|B|,|1999|,|Buick|,|LeSabretooth|,299,01:51.800,,
28,12,|The Blue Shells|,|B|,|1989|,|Honda|,|Accord|,295,01:51.876,,
29,0,|Launcha Splatos|,|B|,|1986|,|Fiat / Bertone|,|X1 / 9|,294,01:44.656,,
30,797,|White Trash Racing|,|A|,|1996|,|Dodge|,|Neon|,294,01:47.994,2,
31,79,|Dos Limons (Car 2 of 2)|,|C|,|1978|,|Ford|,|Fiesta|,294,01:49.070,2,
32,75,|Team Slightly-less-than-credibles|,|B|,|1991|,|Honda|,|CRX|,290,01:49.380,,
33,86,|Little Lebowski Urban Achievers|,|B|,|1986|,|Volvo|,|245|,287,01:52.466,,
34,10,|Dr. Bob's Mobile Dental Clinic|,|A|,|1994|,|Nissan|,|Sentra XE 1.6L|,282,01:52.751,,
35,707,|To Punish and Enslave|,|B|,|1994|,|Ford|,|Crown Vic V8 Supercar|,282,01:49.811,,
36,111,|Landshark|,|A|,|1993|,|Mazda|,|MX-3|,281,01:49.547,,
37,54,|Sod Busters|,|B|,|1992|,|Chevy|,|Camaro|,281,01:51.489,,
38,61,|Clueless Racing|,|A|,|1989|,|Honda|,|CRX SI|,275,01:42.107,,
39,77,|Don't Mess With Lexas!|,|A|,|1991|,|Lexus|,|LS400|,274,01:43.994,,
40,29,|Lemon Squeezers|,|C|,|1993|,|Mercury|,|Capri|,270,01:48.525,,
41,35,|Red Rocket Racing|,|A|,|1995|,|Dodge|,|Neon|,268,01:47.850,,
42,36,|Save The Ta-Tas Racing|,|A|,|1984|,|Chevrolet|,|Camaro|,265,01:42.661,,
43,110,|Iron Oxide Racing|,|A|,|1987|,|Alfa Romeo|,|Milano Silver|,261,01:47.660,,
44,40,|Dover Bros Racin|,|C|,|1970|,|MG|,|BGT|,257,01:59.159,,
45,78,|Dos Limons (Car 1 of 2)|,|C|,|1979|,|Ford|,|Fiesta|,252,01:44.391,1,
46,4,|Kamikaze pilots of fury 2|,|B|,|1990|,|Honda|,|CRX|,244,01:52.754,,
47,46,|Wisconsin Crap Racing|,|B|,|1998|,|Nissan|,|200sx 1.6|,227,01:54.931,,
48,71,|All Whammies|,|A|,|1987|,|bmw|,|325is|,224,01:47.160,,
49,908,|Single Malt Racing|,|A|,|1986|,|Alfa Romeo|,|GTV6|,194,01:44.872,1,
50,64,|Team Lebowski|,|A|,|1996|,|Dodge|,|Neon|,194,01:48.875,,
51,47,|Bad lucky touch|,|A|,|1984|,|Mazda|,|rx7|,192,01:54.953,13,
52,3,|HardDriveRacing|,|B|,|1985|,|Chevrolet|,|Camaro Iroc|,190,01:52.485,,
53,37,|The Minty Pylons|,|A|,|1988|,|Mazda|,|rx7|,188,01:53.680,,
54,43,|Bison Bandits|,|B|,|1991|,|Lincoln|,|Mark VII|,184,01:45.443,21,
55,68,|Sergeant Shitbox|,|A|,|1986|,|BMW|,|325es|,173,01:48.398,1,
56,101,|Byte Marks Racing|,|B|,|1992|,|Ford|,|Escort|,148,01:59.750,,
57,100,|Swiss Racing|,|A|,|1986|,|BMW|,|325E|,144,01:50.266,,
58,70,|Captain Morgan's Rum Runners|,|B|,|1991|,|Ford|,|Thunderbird|,125,01:57.809,,
59,8,|Civic Disorder|,|A|,|1994|,|Honda|,|Civic|,111,01:56.411,,
60,200,|Double Jeopardy|,|C|,|1987|,|Pontiac|,|Fiero|,31,02:05.520,,
61,55,|AutoBACS|,|C|,|1973|,|Toyota|,|Celica|,30,02:13.793,,
62,2,|Zero Budget Racing|,|C|,|1984|,|Chevy|,|Chevette|,9,03:20.078,,
63,113,|The Usual Suspects|,|B|,|1976|,|Chevy|,|DeCon Monza!!#1013|,5,02:20.024,,
64,97,|Crushed Red Pepper|,|C|,|1993|,|Toyota|,|MR2|,1,,,
