|Lemons Arse-Freeze-Apalooza|,,,,,,,,,,
|12|,|3|,|2011|,,,,,,,,
|Pos|,|No|,|Name|,|Class|,|VicYear|,|VicMake|,|VicModel|,|Laps|,|BestTime|,|LapsBS|,|LapsFlag|
1,525,|If It's Not Punk It's Junk GP|,|A|,1992,|BMW|,|525i|,325,02:08.773,,
2,760,|POS Racing|,|A|,1991,|BMW|,|E30|,322,02:09.241,,
3,0,|Geo Player Special|,|A|,1990,|Geo|,|MetroGnome|,321,02:05.936,,
4,647,|Hit and Run Racing|,|A|,1988,|Mazda|,|RX7 V8 Conversion|,316,02:06.058,,
5,144,|Mutter Fokker Motorsports|,|A|,1990,|BMW|,|325|,314,02:12.129,,
6,40,|Los Cerdos Voladores|,|A|,1995,|Plymouth|,|Neon|,309,02:12.476,,
7,330,|Dust n Debris|,|B|,1992,|Plymouth|,|Duster|,308,02:14.364,,
8,924,|OLD Fast Auto Race Team & Sons|,|A|,1987,|Porsche|,|924S|,307,02:14.784,,
9,969,|Sierra Auto Recycling|,|B|,2000,|Ford|,|Crown Vic|,300,02:12.830,,
10,565,|Mazdarachis|,|A|,1985,|Mazda|,|RX7|,296,02:13.890,,
11,555,|Judge Busters|,|A|,1986,|BMW|,|325e|,295,02:15.786,,
12,90,|Chump Ganasee Targee Racing|,|B|,1996,|Eagle|,|Talon|,292,02:16.945,,
13,41,|Steve Pharr|,|B|,1977,|Datsun|,|280-Z|,291,02:17.436,,
14,552,|The Cannonball Bandits|,|B|,1987,|Toyota|,|Supra|,291,02:17.879,,
15,94,|Communists R Us|,|B|,1982,|BMW|,|E21 320i|,290,02:24.750,,
16,10,|Japanese Zeros|,|A|,1988,|Toyota|,|Supra|,289,02:20.236,,
17,58,|Panting Polar Bear Racing|,|B|,1997,|Ford|,|Crown Victoria Cobra|,287,02:18.250,,
18,92,|Vehicular Manslaughter|,|B|,1993,|Honda|,|Accord|,287,02:18.669,,
19,944,|Eco Challenged|,|A|,1985,|Porsche|,|944 challenger|,286,02:14.559,,
20,84,|KGB Racing|,|B|,1982,|BMW|,|320i|,286,02:20.129,,
21,170,|Team Fugawi|,|A|,1991,|Toyota|,|MR2|,282,02:14.133,,
22,666,|IWannaRoc|,|B|,1989,|Chevy|,|Camaro|,281,02:17.668,,
23,95,|Model T GT|,|A|,1927,|Ford|,|Model T|,279,02:07.709,,
24,56,|The Flyin' Hawaiians & 2 White Guys|,|A|,1974,|Datsun|,|260Z|,278,02:14.553,,
25,8,|Team Tinyvette|,|B|,1969,|Opel|,|GT|,274,02:22.469,,
26,189,|Tired Iron Racing|,|A|,1991,|Mazda|,|Miata|,273,02:18.492,10,
27,425,|Clowntown Road Show|,|A|,1990,|BMW|,|325i|,273,02:14.645,5,
28,47,|Mamgum P.I.G|,|A|,1992,|Toyota|,|MR2|,272,02:18.529,,
29,196,|Clunker Refuge Racing II (Type D)|,|A|,1992,|Mazda|,|Type D Jag|,271,02:18.806,,
30,188,|Ace Pump Racing|,|A|,1994,|BMW|,|3 Series|,270,02:14.275,1,
31,46,|Rice Rocket Racing|,|B|,1973,|Datsun|,|240Z|,269,02:15.114,,
32,83,|Dirty Duck Racing|,|B|,1983,|VW|,|Rabbit|,269,02:20.244,,
33,59,|Flying Scotsmen|,|A|,1985,|BMW|,|325|,267,02:20.148,,
34,5,|Cerveza Racing|,|A|,1983,|BMW|,|533i|,265,02:06.728,,
