|Rod Blagojevich Never-Say-Die 500|,,,,,,,,,,
|10|,|23|,|2010|,,,,,,,,
|Pos|,|No|,|Name|,|Class|,|VicYear|,|VicMake|,|VicModel|,|Laps|,|BestTime|,|LapsBS|,|LapsFlag|
62,44,|If You Can't Duck It|,|A|,,,,258,01:22.575,,
63,70,|Victorious Secret|,|A|,|1990|,|Ford|,|Taurus SHO|,252,01:24.960,50,
64,166,|Lousy Liars|,|A|,|1988|,|Acura|,|Ram tegra|,247,01:20.560,,
65,1,|Morrows Auto & Animal House's Death Mobile Quest for the Holy Nickel Bag|,|C|,|1985|,|Pontiac|,|Death Mobile|,237,01:26.300,,
66,74,|Team Resignation|,|B|,|1991|,|Ford|,|Escort|,217,01:23.828,,
67,46,|Wisconsin Crap Racers|,|A|,|1998|,|Nissan|,|200sx|,214,01:31.495,,
68,89,|Byte Marks Racing|,|C|,|1989|,|Mercury|,|Tracer|,205,01:39.214,,
69,2,|TARP **THREAT LEVEL: ORANGE!**|,|B|,|1987|,|Toyota|,|MR2|,193,01:25.307,,
70,7,|Mad Cow Racing|,|B|,|1977|,|Porsche|,|924|,188,01:31.551,,
71,3,|Slingshot Racing|,|A|,|1994|,|Honda|,|Accord|,145,01:33.278,15,
72,31,|Team Not Guilty|,|A|,|2000|,|Honda|,|Civic|,133,01:27.799,29,
73,242,|Dragon Fist|,|A|,|1998|,|Ford|,|ZX2|,116,01:41.084,1,
74,71,|No wha///mies|,|A|,|1990|,|honda|,|crx|,106,01:25.945,4,
75,72,|The Autobarn/Autowerks Racing Team|,|A|,|1989|,|Volkswagen|,|GTI|,105,01:29.740,10,
76,28,|Team Underpants|,|B|,|1995|,|Saturn|,|SL2|,91,01:32.046,,
77,13,|Team Anarchy|,|C|,|1993|,|Dodge|,|Shadow|,83,01:35.761,,
78,33,|Hampshire Hillbillies|,|A|,|1986|,|Chevy|,|Camaro|,76,01:24.612,,
79,161,|Wannabe Racers|,|C|,|1999|,|Mercury|,|mystique|,55,01:59.556,,
80,199,|SHOBOCOP|,|A|,|1992|,|Ford|,|Taurus SHO|,54,01:49.305,2,
81,95,|family Truckstor|,|B|,|1995|,|Chevy|,|caprice wagon|,16,01:49.754,,
82,51,|Cockroach Racing|,|B|,|1994|,|Ford|,|Mustang|,6,02:18.083,,
83,8,|Magic Hate Ball|,|C|,|1982|,|Chevrolet|,|Chevette|,,,,
84,17,|thesmokinhookah|,|A|,|1997|,|Dodge|,|Neon|,,,,
85,100,|Shhhhhh... Just let it happen|,|A|,|1989|,|BMDubya|,|320ish|,,,,
86,200,|Double Jeopardy|,|C|,|1987|,|Pontiac|,|Fiero|,,,,
87,15,|Little Douche Coupe Racing|,|A|,|1989|,|Ford|,|Mustang|,-345,01:23.695,500,
