"The Real Hoopties of New Jersey",,,,,,,,
"4","9","2011",,,,,,
"Pos","No","Name","Class","MakeModel","Laps","BestTime","LapsBS","LapsFlag"
1,113,"Team Cardorks - Invisible Pink Unicorn","A","1986/BMW/325e",516,01:23.909,,
2,26,"Team Pro Crash Duh Nation","A","1987/Alfa friken Romeo/Milano",514,01:27.430,,
3,27,"Booby Prize Racing","A","1996/Nissan/200sx",514,01:26.463,1,
4,82,"Laughing Clown","A","1985/BMW/325e",503,01:24.595,,
5,75,"Scuderia Limoni","A","1987/Alfa Romeo/Milano",497,01:29.810,,
6,81,"Team Cardorks - Flying Spaghetti Monster","A","1995/Acura/Integra",490,01:21.304,17,
7,137,"Victors of War","A","1988/VW/Golf (NOT a GTi)",486,01:26.578,2,
8,12,"Fastish and the Furriest","B","1991/Volvo/240",480,01:27.206,,
9,241,"Vermont Volvocheros","C","1992/Volvo/240 Wagon",479,01:30.269,,
10,47,"Anti EPA racing","B","1985/Mercury/Cougar",478,01:24.198,,
11,240,"Keystone Kops","B","1984/Volvo/244",478,01:25.353,,
12,96,"Bada Bing Motorsports","A","1992/Honda/Civic",474,01:31.964,,
13,14,"Team Farfrumwinnin","C","1993/Volkswagen/Fox",471,01:28.165,,
14,911,"Greenhouse Gassholes","A","1985/BMW/325e",470,01:26.155,,
15,25,"Bumble Bee","A","1986/Mazda/RX7",462,01:24.080,,
16,38,"Speedycop & The Gang of Outlaws","A","1994/Lincoln/Mark VIII",457,01:25.532,,
17,4,"Rally Baby Racing","B","1987/Audi/4000 CS",455,01:31.998,,
18,1,"Swindell","A","1984/BMW/325e",449,01:29.960,7,
19,41,"Teampaisley","B","1998/Subaru/2.2 impreza",446,01:24.513,,
20,53,"Duct Tape Racing","A","1996/VW/Golf",446,01:26.507,,
21,68,"Rusty Bolt Racing","A","1984/Porsche/962 (previously a 944)",441,01:28.096,,
22,528,"U-ro Trash","A","85/BMW/528",439,01:28.672,,
23,9,"Elmo's revenge","B","92/saturn/SL2",436,01:28.399,,
24,78,"Team Death Race","B","1988/BM/535is",432,01:25.388,,
25,35,"Interceptor Motorsports","B","1987/Chevrolet/Camaro",417,01:33.112,,
26,111,"Team Cardorks - New","A","1991/Acura/Integra",416,01:24.376,41,
27,69,"Sinical Racing","A","1992/bmw/325",401,01:26.613,3,
28,84,"Walkofshame","A","1996/bmw/318ti",398,01:23.213,28,
29,59,"HelloKitty Racing","A","1979/Mazda/RX-7 Le Mans",390,01:29.634,,
30,132,"Speedycop & The Gang of Outlaws","B","1977/Lancia/Scorpion",379,01:28.528,,
31,469,"Duct Tape Motorsports","A","1991/BMW/318is",366,01:22.502,1,
32,7,"Gormless Racing","C","1968/MG/MGB GT",365,01:36.604,,
33,300,"Rust In The Wind","B","1987/Nissan/Saab/300zx/9000",357,01:25.111,,
34,45,"The B-69 Penetrators","B","2000/Chevy/Impala",351,01:28.759,,
35,2,"Bug Eyed Blowfish Boysenberry Pie Racing","A","1987/BMW/325",350,01:26.556,,
36,30,"Overengineer'd Racing","A","1987/BMW/325i (i'm sorry)",347,01:31.801,,
37,187,"Tribe IDP's Quest","A","1986/BMW/325es",345,01:23.803,,
38,37,"Mod Squad Racing","A","1991/Toyota/MR2",337,01:29.472,,
39,58,"Misfit Toys Racing","A","1991/Honda/Civic Wagovan RT4WD",330,01:30.989,3,
40,157,"Shallow Pockets Racing","A","1998/Volkswagen/Golf",320,01:31.933,,
41,32,"MR2 Biohazard","A","1991/Toyota/MR2",304,01:21.299,32,
42,98,"Toyota Real Done","A","1988/Toyota/MR2",297,01:31.189,,
43,36,"Squatting Dog Racing","A","2000/Ford/Mustang",292,01:33.507,,
44,115,"Speedycop & The Gang of Outlaws","C","19/Mystery/Car",277,01:32.831,,
45,131,"Scuderia Regurgito","C","1975/Fiat/131",261,01:37.224,,
46,999,"The E-lemon-ators DBA Epic Fail Racing","B","1989/Mercury/Cougar GT 499 3/4",259,01:32.286,,
47,20,"Teamremmers","C","1986/SAAB/900",254,01:29.667,,
48,67,"The J Team","A","1996/VW/Jetta",250,01:27.177,,
49,8,"Killer Bs","B","1984/Audi/4000 Quattro",249,01:25.271,,
50,89,"Schumacher Taxi Service-Team coROLLa","A","1987/Toyota/coROLLa FX16",232,01:26.750,,
51,6,"LiMP1 Failbird","A","1985/Pontiac/Firebird",232,01:26.738,,
52,126,"Flyin Turd Race Team","B","1988/Ford/Thunderbird Turbo Coupe'",210,01:25.019,,
53,155,"Classic Car Club Racing","A","1998/Volkswagen/Golf",202,01:23.561,,
54,70,"Deconstruction","A","1991/BMW/318",188,01:26.968,1,
55,106,"Bill Danger and the Road Hazzards","A","1994/Honda/Accord",150,01:25.821,,
56,87,"Morrows Auto","B","1986/Toyota/Supra",142,01:33.458,,
57,31,"Master Jury Riggers","A","1977/BMW/320i",107,01:26.888,50,
58,7,"Bondo","C","1977/Triumph/TR7(V8)",104,01:36.644,,
59,18,"Desert Eagle Racing","B","2001/mitsubishi/Eclipse",84,01:30.425,,
60,77,"Philly River Rats","A","1988/Honda/Prelude",58,01:32.290,,
61,909,"Robot House Racing","B","1995/Pontiac/Grand Am",57,01:38.846,,
62,140,"Racing World","B","1984/chevrolet/monte carlo",44,01:29.392,,
63,17,"Schumacher Taxi Service:GI Slow","A","1986/Toyota/MR2",39,01:26.739,,
64,29,"Morrows Auto","C","1977/Bradley/GT",31,01:54.386,,
65,5,"Woeful House","B","1992/Plymouth/Laser",8,01:51.680,,
66,111,"Team Cardorks - New",,"1991/Acura/Integra",,,,
